date,temperature,wind_speed,solar_irradiance
20220205,12.94,1.61,2.1614
20220206,15.07,1.71,0.9506
20220207,19.16,1.12,2.7115
20220208,17.55,2.56,1.0963
20220209,13.57,2.22,1.1765
20220210,15.89,1.57,1.4117
20220211,18.84,1.48,1.9834
20220212,18.8,3.11,1.0884
20220213,14.61,3.01,0.9996
20220214,14.08,1.78,4.0673
20220215,15.89,1.22,1.4669
20220216,18.3,1.45,1.1904
20220217,21.49,2.0,1.9183
20220218,23.59,2.54,1.2228
20220219,11.77,4.79,0.9751
20220220,7.25,3.64,1.5355
20220221,8.65,2.5,1.9949
20220222,10.43,2.72,1.6898
20220223,11.1,2.11,2.7245
20220224,11.84,1.8,4.6315
20220225,13.3,1.13,4.2574
20220226,15.52,1.0,2.5606
20220227,16.55,1.46,2.5358
20220228,18.34,2.0,3.133
20220301,20.14,1.52,2.304
20220302,20.6,1.65,2.748
20220303,21.23,2.22,2.9909
20220304,21.8,2.47,1.8185
20220305,22.09,2.48,1.9034
20220306,23.24,2.43,2.0172
20220307,20.64,2.16,2.7982
20220308,19.26,2.13,6.0564
20220309,19.03,2.41,2.729
20220310,20.12,2.64,1.5521
20220311,20.9,2.31,2.0167
20220312,21.79,2.98,1.8895
20220313,22.33,2.78,1.9738
20220314,22.41,2.25,1.8168
20220315,23.1,1.53,2.5906
20220316,22.52,2.05,2.0611
20220317,24.43,1.74,2.165
20220318,23.41,1.54,2.9275
20220319,24.79,2.38,2.5841
20220320,25.47,2.63,2.592
20220321,26.85,2.42,2.8114
20220322,27.37,1.93,2.7192
20220323,18.91,2.92,1.3073
20220324,20.73,2.71,1.5367
20220325,25.91,2.16,3.1627
20220326,28.03,1.27,5.9172
20220327,21.84,3.09,1.8326
20220328,19.19,1.66,3.0146
20220329,20.75,1.81,1.951
20220330,23.4,1.96,2.4547
20220331,24.74,1.68,3.3283
20220401,17.19,4.11,1.7386
20220402,16.62,3.6,3.9017
